position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,coverage,num_vanishing_states,fault_sensitive_detection,bit_flip_detection,phase_detection,active_support_size
6,7,128,2,2,32,after_walk_step_2,0.96875,124,0.5714285714285156,0.8571428571427734,1.1390281090702324e-29,4
6,7,128,4,1,16,after_walk_step_1,0.984375,126,0.6666666666666348,0.9999999999999521,3.9199049132810056e-30,2
6,7,128,4,2,32,after_walk_step_2,0.96875,124,0.5714285714285156,0.8571428571427734,1.1390281090702324e-29,4
6,7,128,4,3,48,after_walk_step_3,0.9609375,123,0.5476190476189677,0.8214285714284516,2.3690396589561837e-29,5
6,7,128,4,4,64,after_walk_step_4,0.9375,120,0.48809523809514005,0.7321428571427101,2.5832531023402016e-29,8
6,7,128,6,1,16,after_walk_step_1,0.984375,126,0.6666666666666348,0.9999999999999521,3.9199049132810056e-30,2
6,7,128,6,2,32,after_walk_step_2,0.96875,124,0.5714285714285156,0.8571428571427734,1.1390281090702324e-29,4
6,7,128,6,3,48,after_walk_step_3,0.9609375,123,0.5476190476189677,0.8214285714284516,2.3690396589561837e-29,5
6,7,128,6,4,64,after_walk_step_4,0.9375,120,0.48809523809514005,0.7321428571427101,2.5832531023402016e-29,8
6,7,128,6,5,80,after_walk_step_5,0.9375,120,0.547619047618909,0.8214285714283635,3.46434446554169e-29,8
6,7,128,6,6,96,after_walk_step_6,0.90625,116,0.4404761904760563,0.6607142857140845,3.803323750132663e-29,12
6,7,128,8,1,16,after_walk_step_1,0.984375,126,0.6666666666666348,0.9999999999999521,3.9199049132810056e-30,2
6,7,128,8,2,32,after_walk_step_2,0.96875,124,0.5714285714285156,0.8571428571427734,1.1390281090702324e-29,4
6,7,128,8,3,48,after_walk_step_3,0.9609375,123,0.5476190476189677,0.8214285714284516,2.3690396589561837e-29,5
6,7,128,8,4,64,after_walk_step_4,0.9375,120,0.48809523809514005,0.7321428571427101,2.5832531023402016e-29,8
6,7,128,8,5,80,after_walk_step_5,0.9375,120,0.547619047618909,0.8214285714283635,3.46434446554169e-29,8
6,7,128,8,6,96,after_walk_step_6,0.90625,116,0.4404761904760563,0.6607142857140845,3.803323750132663e-29,12
6,7,128,8,7,112,after_walk_step_7,0.8984375,115,0.4181547619046129,0.6272321428569194,5.027657615903284e-29,13
6,7,128,8,8,128,after_walk_step_8,0.875,112,0.3883928571426971,0.5825892857140457,4.084770820627594e-29,16
6,7,128,10,1,16,after_walk_step_1,0.984375,126,0.6666666666666348,0.9999999999999521,3.9199049132810056e-30,2
6,7,128,10,2,32,after_walk_step_2,0.96875,124,0.5714285714285156,0.8571428571427734,1.1390281090702324e-29,4
6,7,128,10,3,48,after_walk_step_3,0.9609375,123,0.5476190476189677,0.8214285714284516,2.3690396589561837e-29,5
6,7,128,10,4,64,after_walk_step_4,0.9375,120,0.48809523809514005,0.7321428571427101,2.5832531023402016e-29,8
6,7,128,10,5,80,after_walk_step_5,0.9375,120,0.547619047618909,0.8214285714283635,3.46434446554169e-29,8
6,7,128,10,6,96,after_walk_step_6,0.90625,116,0.4404761904760563,0.6607142857140845,3.803323750132663e-29,12
6,7,128,10,7,112,after_walk_step_7,0.8984375,115,0.4181547619046129,0.6272321428569194,5.027657615903284e-29,13
6,7,128,10,8,128,after_walk_step_8,0.875,112,0.3883928571426971,0.5825892857140457,4.084770820627594e-29,16
6,7,128,10,9,144,after_walk_step_9,0.875,112,0.43173363095217937,0.6476004464282691,4.319750263027149e-29,16
6,7,128,10,10,160,after_walk_step_10,0.859375,110,0.39639136904741407,0.5945870535711212,4.9118546981591473e-29,18
6,7,128,12,1,16,after_walk_step_1,0.984375,126,0.6666666666666348,0.9999999999999521,3.9199049132810056e-30,2
6,7,128,12,2,32,after_walk_step_2,0.96875,124,0.5714285714285156,0.8571428571427734,1.1390281090702324e-29,4
6,7,128,12,3,48,after_walk_step_3,0.9609375,123,0.5476190476189677,0.8214285714284516,2.3690396589561837e-29,5
6,7,128,12,4,64,after_walk_step_4,0.9375,120,0.48809523809514005,0.7321428571427101,2.5832531023402016e-29,8
6,7,128,12,5,80,after_walk_step_5,0.9375,120,0.547619047618909,0.8214285714283635,3.46434446554169e-29,8
6,7,128,12,6,96,after_walk_step_6,0.90625,116,0.4404761904760563,0.6607142857140845,3.803323750132663e-29,12
6,7,128,12,7,112,after_walk_step_7,0.8984375,115,0.4181547619046129,0.6272321428569194,5.027657615903284e-29,13
6,7,128,12,8,128,after_walk_step_8,0.875,112,0.3883928571426971,0.5825892857140457,4.084770820627594e-29,16
6,7,128,12,9,144,after_walk_step_9,0.875,112,0.43173363095217937,0.6476004464282691,4.319750263027149e-29,16
6,7,128,12,10,160,after_walk_step_10,0.859375,110,0.39639136904741407,0.5945870535711212,4.9118546981591473e-29,18
6,7,128,12,11,176,after_walk_step_11,0.8359375,107,0.3710937499997889,0.5566406249996833,6.329931619927678e-29,21
6,7,128,12,12,192,after_walk_step_12,0.8125,104,0.3458426339283559,0.5187639508925338,6.131632139779123e-29,24
